coverage_id,policy_period_id,coverage_code,coverage_name,limit_amount,deductible_amount,coverage_start_date,coverage_end_date,coverage_status
295,295,CVG295,Flood,3851994.11,24234.82,2022-10-23,2023-10-23,CANCELLED
296,296,CVG296,Theft,8524433.08,112375.84,2022-10-24,2023-10-24,SUSPENDED
297,297,CVG297,Personal Accident,2199986.52,89984.85,2022-10-25,2023-10-25,ACTIVE
298,298,CVG298,Glass Protection,3469354.55,154783.17,2022-10-26,2023-10-26,EXPIRED
299,299,CVG299,Natural Disaster,7041719.13,122751.85,2022-10-27,2023-10-27,CANCELLED
300,300,CVG300,Business Interruption,200496.03,9556.21,2022-10-28,2023-10-28,SUSPENDED
301,301,CVG301,Comprehensive,947568.32,35442.24,2022-10-29,2023-10-29,ACTIVE
302,302,CVG302,Collision,4936920.68,193119.55,2022-10-30,2023-10-30,EXPIRED
303,303,CVG303,Third Party Liability,6937032.46,236314.38,2022-10-31,2023-10-31,CANCELLED
304,304,CVG304,Fire,4959131.22,201747.27,2022-11-01,2023-11-01,SUSPENDED
305,305,CVG305,Flood,1021228.17,15289.66,2022-11-02,2023-11-02,ACTIVE
306,306,CVG306,Theft,6948692.84,130491.39,2022-11-03,2023-11-03,EXPIRED
307,307,CVG307,Personal Accident,5857400.29,154030.43,2022-11-04,2023-11-04,CANCELLED
308,308,CVG308,Glass Protection,5356127.12,129338.0,2022-11-05,2023-11-05,SUSPENDED
309,309,CVG309,Natural Disaster,7484760.82,148839.02,2022-11-06,2023-11-06,ACTIVE
310,310,CVG310,Business Interruption,7058263.93,121340.3,2022-11-07,2023-11-07,EXPIRED
311,311,CVG311,Comprehensive,2588896.39,27000.93,2022-11-08,2023-11-08,CANCELLED
312,312,CVG312,Collision,2006584.51,20828.27,2022-11-09,2023-11-09,SUSPENDED
313,313,CVG313,Third Party Liability,5405053.26,212410.66,2022-11-10,2023-11-10,ACTIVE
314,314,CVG314,Fire,1932983.44,28486.97,2022-11-11,2023-11-11,EXPIRED
315,315,CVG315,Flood,4893566.01,184029.03,2022-11-12,2023-11-12,CANCELLED
316,316,CVG316,Theft,9768409.53,279461.1,2022-11-13,2023-11-13,SUSPENDED
317,317,CVG317,Personal Accident,2901687.16,27634.73,2022-11-14,2023-11-14,ACTIVE
318,318,CVG318,Glass Protection,2021764.02,30805.1,2022-11-15,2023-11-15,EXPIRED
319,319,CVG319,Natural Disaster,1876471.28,10577.06,2022-11-16,2023-11-16,CANCELLED
320,320,CVG320,Business Interruption,5387937.38,93448.44,2022-11-17,2023-11-17,SUSPENDED
321,321,CVG321,Comprehensive,9745519.82,291402.28,2022-11-18,2023-11-18,ACTIVE
322,322,CVG322,Collision,7004432.19,74825.39,2022-11-19,2023-11-19,EXPIRED
323,323,CVG323,Third Party Liability,8697765.85,235618.49,2022-11-20,2023-11-20,CANCELLED
324,324,CVG324,Fire,8739925.38,269477.16,2022-11-21,2023-11-21,SUSPENDED
325,325,CVG325,Flood,4747029.75,117826.48,2022-11-22,2023-11-22,ACTIVE
326,326,CVG326,Theft,1925200.34,14076.97,2022-11-23,2023-11-23,EXPIRED
327,327,CVG327,Personal Accident,9416529.61,249517.44,2022-11-24,2023-11-24,CANCELLED
328,328,CVG328,Glass Protection,8238944.89,189758.02,2022-11-25,2023-11-25,SUSPENDED
329,329,CVG329,Natural Disaster,833413.49,27773.55,2022-11-26,2023-11-26,ACTIVE
330,330,CVG330,Business Interruption,630729.84,7388.3,2022-11-27,2023-11-27,EXPIRED
331,331,CVG331,Comprehensive,5672112.01,105913.07,2022-11-28,2023-11-28,CANCELLED
332,332,CVG332,Collision,9939789.41,102681.21,2022-11-29,2023-11-29,SUSPENDED
333,333,CVG333,Third Party Liability,7667990.11,247555.65,2022-11-30,2023-11-30,ACTIVE
334,334,CVG334,Fire,7928334.22,120161.21,2022-12-01,2023-12-01,EXPIRED
335,335,CVG335,Flood,5273468.1,133277.16,2022-12-02,2023-12-02,CANCELLED
336,336,CVG336,Theft,4482937.94,195938.01,2022-12-03,2023-12-03,SUSPENDED
337,337,CVG337,Personal Accident,9901309.48,185571.44,2022-12-04,2023-12-04,ACTIVE
338,338,CVG338,Glass Protection,6248170.48,202649.36,2022-12-05,2023-12-05,EXPIRED
339,339,CVG339,Natural Disaster,7426884.12,353828.34,2022-12-06,2023-12-06,CANCELLED
340,340,CVG340,Business Interruption,2157100.27,31269.61,2022-12-07,2023-12-07,SUSPENDED
341,341,CVG341,Comprehensive,6638238.56,80107.4,2022-12-08,2023-12-08,ACTIVE
342,342,CVG342,Collision,1820754.13,15254.13,2022-12-09,2023-12-09,EXPIRED
343,343,CVG343,Third Party Liability,126489.65,3196.73,2022-12-10,2023-12-10,CANCELLED
344,344,CVG344,Fire,5978730.83,108254.89,2022-12-11,2023-12-11,SUSPENDED
345,345,CVG345,Flood,2391614.72,88042.54,2022-12-12,2023-12-12,ACTIVE
346,346,CVG346,Theft,7059576.83,179534.99,2022-12-13,2023-12-13,EXPIRED
347,347,CVG347,Personal Accident,6905110.71,321612.42,2022-12-14,2023-12-14,CANCELLED
348,348,CVG348,Glass Protection,7899497.46,261691.47,2022-12-15,2023-12-15,SUSPENDED
349,349,CVG349,Natural Disaster,6645712.12,312448.69,2022-12-16,2023-12-16,ACTIVE
350,350,CVG350,Business Interruption,4308875.76,127134.7,2022-12-17,2023-12-17,EXPIRED
351,351,CVG351,Comprehensive,6511583.76,298741.79,2022-12-18,2023-12-18,CANCELLED
352,352,CVG352,Collision,8283648.48,68037.27,2022-12-19,2023-12-19,SUSPENDED
353,353,CVG353,Third Party Liability,1742635.61,32835.67,2022-12-20,2023-12-20,ACTIVE
354,354,CVG354,Fire,7514681.45,230056.84,2022-12-21,2023-12-21,EXPIRED
355,355,CVG355,Flood,2957244.82,31334.71,2022-12-22,2023-12-22,CANCELLED
356,356,CVG356,Theft,6917912.11,252420.89,2022-12-23,2023-12-23,SUSPENDED
357,357,CVG357,Personal Accident,9432494.78,259594.03,2022-12-24,2023-12-24,ACTIVE
358,358,CVG358,Glass Protection,4988572.67,43000.91,2022-12-25,2023-12-25,EXPIRED
359,359,CVG359,Natural Disaster,494621.76,12089.19,2022-12-26,2023-12-26,CANCELLED
360,360,CVG360,Business Interruption,3290983.68,53532.97,2022-12-27,2023-12-27,SUSPENDED
361,361,CVG361,Comprehensive,1004136.18,48485.72,2022-12-28,2023-12-28,ACTIVE
362,362,CVG362,Collision,8375990.28,258683.75,2022-12-29,2023-12-29,EXPIRED
363,363,CVG363,Third Party Liability,9512784.15,475456.17,2022-12-30,2023-12-30,CANCELLED
364,364,CVG364,Fire,6755587.68,115709.68,2022-12-31,2023-12-31,SUSPENDED
365,365,CVG365,Flood,498293.56,19449.44,2023-01-01,2024-01-01,ACTIVE
366,366,CVG366,Theft,4757958.15,163283.26,2023-01-02,2024-01-02,EXPIRED
367,367,CVG367,Personal Accident,9169120.6,120729.92,2023-01-03,2024-01-03,CANCELLED
368,368,CVG368,Glass Protection,5894763.29,197859.57,2023-01-04,2024-01-04,SUSPENDED
369,369,CVG369,Natural Disaster,4968085.44,45238.93,2023-01-05,2024-01-05,ACTIVE
370,370,CVG370,Business Interruption,3544814.46,70892.31,2023-01-06,2024-01-06,EXPIRED
371,371,CVG371,Comprehensive,6734321.74,293602.89,2023-01-07,2024-01-07,CANCELLED
372,372,CVG372,Collision,3365056.27,121866.57,2023-01-08,2024-01-08,SUSPENDED
373,373,CVG373,Third Party Liability,2953356.17,140383.97,2023-01-09,2024-01-09,ACTIVE
374,374,CVG374,Fire,8154303.74,242625.99,2023-01-10,2024-01-10,EXPIRED
375,375,CVG375,Flood,4602776.5,88158.23,2023-01-11,2024-01-11,CANCELLED
376,376,CVG376,Theft,3300410.48,160592.41,2023-01-12,2024-01-12,SUSPENDED
377,377,CVG377,Personal Accident,4101333.06,115480.54,2023-01-13,2024-01-13,ACTIVE
378,378,CVG378,Glass Protection,9882380.23,341878.15,2023-01-14,2024-01-14,EXPIRED
379,379,CVG379,Natural Disaster,5471676.58,129110.45,2023-01-15,2024-01-15,CANCELLED
380,380,CVG380,Business Interruption,1957067.16,41646.53,2023-01-16,2024-01-16,SUSPENDED
381,381,CVG381,Comprehensive,7588787.23,251518.16,2023-01-17,2024-01-17,ACTIVE
382,382,CVG382,Collision,7623906.31,107955.43,2023-01-18,2024-01-18,EXPIRED
383,383,CVG383,Third Party Liability,5537274.43,258841.41,2023-01-19,2024-01-19,CANCELLED
384,384,CVG384,Fire,4437349.34,161613.82,2023-01-20,2024-01-20,SUSPENDED
385,385,CVG385,Flood,1302118.23,63532.44,2023-01-21,2024-01-21,ACTIVE
386,386,CVG386,Theft,6127829.5,96625.98,2023-01-22,2024-01-22,EXPIRED
387,387,CVG387,Personal Accident,1667943.82,49684.3,2023-01-23,2024-01-23,CANCELLED
388,388,CVG388,Glass Protection,5567288.95,51187.96,2023-01-24,2024-01-24,SUSPENDED
389,389,CVG389,Natural Disaster,9923345.68,457286.07,2023-01-25,2024-01-25,ACTIVE
390,390,CVG390,Business Interruption,4668334.15,48018.38,2023-01-26,2024-01-26,EXPIRED
391,391,CVG391,Comprehensive,8338217.42,228691.44,2023-01-27,2024-01-27,CANCELLED
392,392,CVG392,Collision,7194372.93,200717.54,2023-01-28,2024-01-28,SUSPENDED
393,393,CVG393,Third Party Liability,2806906.48,119469.17,2023-01-29,2024-01-29,ACTIVE
394,394,CVG394,Fire,9804421.86,156555.94,2023-01-30,2024-01-30,EXPIRED
395,395,CVG395,Flood,5557524.26,123718.11,2023-01-31,2024-01-31,CANCELLED
396,396,CVG396,Theft,9226494.68,257150.16,2023-02-01,2024-02-01,SUSPENDED
397,397,CVG397,Personal Accident,8805329.93,386388.55,2023-02-02,2024-02-02,ACTIVE
398,398,CVG398,Glass Protection,2834849.29,114953.93,2023-02-03,2024-02-03,EXPIRED
399,399,CVG399,Natural Disaster,4207929.99,197945.98,2023-02-04,2024-02-04,CANCELLED
400,400,CVG400,Business Interruption,5126602.99,214931.43,2023-02-05,2024-02-05,SUSPENDED
401,401,CVG401,Comprehensive,2900105.93,53463.49,2023-02-06,2024-02-06,ACTIVE
402,402,CVG402,Collision,5910683.45,295242.21,2023-02-07,2024-02-07,EXPIRED
403,403,CVG403,Third Party Liability,4947439.43,57819.7,2023-02-08,2024-02-08,CANCELLED
404,404,CVG404,Fire,5431947.72,111521.02,2023-02-09,2024-02-09,SUSPENDED
405,405,CVG405,Flood,5563982.43,163883.5,2023-02-10,2024-02-10,ACTIVE
406,406,CVG406,Theft,4607911.71,89762.03,2023-02-11,2024-02-11,EXPIRED
407,407,CVG407,Personal Accident,1967658.5,71598.03,2023-02-12,2024-02-12,CANCELLED
408,408,CVG408,Glass Protection,5760796.66,89351.74,2023-02-13,2024-02-13,SUSPENDED
409,409,CVG409,Natural Disaster,7777890.3,54166.23,2023-02-14,2024-02-14,ACTIVE
410,410,CVG410,Business Interruption,7472581.0,274507.17,2023-02-15,2024-02-15,EXPIRED
411,411,CVG411,Comprehensive,8132948.14,181962.87,2023-02-16,2024-02-16,CANCELLED
412,412,CVG412,Collision,6670519.41,279719.16,2023-02-17,2024-02-17,SUSPENDED
413,413,CVG413,Third Party Liability,9810099.57,267715.55,2023-02-18,2024-02-18,ACTIVE
414,414,CVG414,Fire,466494.15,12876.69,2023-02-19,2024-02-19,EXPIRED
415,415,CVG415,Flood,5942786.25,262293.87,2023-02-20,2024-02-20,CANCELLED
416,416,CVG416,Theft,8754484.7,217231.85,2023-02-21,2024-02-21,SUSPENDED
417,417,CVG417,Personal Accident,5306915.76,135654.12,2023-02-22,2024-02-22,ACTIVE
418,418,CVG418,Glass Protection,7252193.89,170056.97,2023-02-23,2024-02-23,EXPIRED
419,419,CVG419,Natural Disaster,6582335.13,78634.25,2023-02-24,2024-02-24,CANCELLED
420,420,CVG420,Business Interruption,4747956.95,230817.95,2023-02-25,2024-02-25,SUSPENDED
421,421,CVG421,Comprehensive,3451756.22,124855.91,2023-02-26,2024-02-26,ACTIVE
422,422,CVG422,Collision,6533382.86,283087.81,2023-02-27,2024-02-27,EXPIRED
423,423,CVG423,Third Party Liability,8538179.23,372865.69,2023-02-28,2024-02-28,CANCELLED
424,424,CVG424,Fire,3862093.04,74344.33,2023-03-01,2024-02-29,SUSPENDED
425,425,CVG425,Flood,7215302.51,282645.63,2023-03-02,2024-03-01,ACTIVE
426,426,CVG426,Theft,8736591.87,57796.57,2023-03-03,2024-03-02,EXPIRED
427,427,CVG427,Personal Accident,777365.4,25965.75,2023-03-04,2024-03-03,CANCELLED
428,428,CVG428,Glass Protection,9217198.08,459792.24,2023-03-05,2024-03-04,SUSPENDED
429,429,CVG429,Natural Disaster,7492987.03,183793.35,2023-03-06,2024-03-05,ACTIVE
430,430,CVG430,Business Interruption,1074586.95,36018.71,2023-03-07,2024-03-06,EXPIRED
431,431,CVG431,Comprehensive,8738534.4,218162.18,2023-03-08,2024-03-07,CANCELLED
432,432,CVG432,Collision,6970611.51,318236.87,2023-03-09,2024-03-08,SUSPENDED
433,433,CVG433,Third Party Liability,555310.59,22671.36,2023-03-10,2024-03-09,ACTIVE
434,434,CVG434,Fire,3004340.98,65698.48,2023-03-11,2024-03-10,EXPIRED
435,435,CVG435,Flood,1541140.98,44542.8,2023-03-12,2024-03-11,CANCELLED
436,436,CVG436,Theft,5702687.81,231890.54,2023-03-13,2024-03-12,SUSPENDED
437,437,CVG437,Personal Accident,1782838.13,15249.64,2023-03-14,2024-03-13,ACTIVE
438,438,CVG438,Glass Protection,8721312.03,286817.5,2023-03-15,2024-03-14,EXPIRED
439,439,CVG439,Natural Disaster,2484214.94,114465.93,2023-03-16,2024-03-15,CANCELLED
440,440,CVG440,Business Interruption,1516865.43,39061.93,2023-03-17,2024-03-16,SUSPENDED
441,441,CVG441,Comprehensive,2614375.66,43110.28,2023-03-18,2024-03-17,ACTIVE
442,442,CVG442,Collision,193034.57,7954.66,2023-03-19,2024-03-18,EXPIRED
443,443,CVG443,Third Party Liability,9021973.29,320212.3,2023-03-20,2024-03-19,CANCELLED
444,444,CVG444,Fire,1663958.66,41395.7,2023-03-21,2024-03-20,SUSPENDED
445,445,CVG445,Flood,3521099.68,110705.93,2023-03-22,2024-03-21,ACTIVE
446,446,CVG446,Theft,6425493.15,154815.2,2023-03-23,2024-03-22,EXPIRED
447,447,CVG447,Personal Accident,2575972.42,110866.44,2023-03-24,2024-03-23,CANCELLED
448,448,CVG448,Glass Protection,2072248.29,46234.34,2023-03-25,2024-03-24,SUSPENDED
449,449,CVG449,Natural Disaster,4883759.8,76549.3,2023-03-26,2024-03-25,ACTIVE
450,450,CVG450,Business Interruption,5762034.65,177854.05,2023-03-27,2024-03-26,EXPIRED
451,451,CVG451,Comprehensive,9927651.23,181530.91,2023-03-28,2024-03-27,CANCELLED
452,452,CVG452,Collision,9781650.4,338644.08,2023-03-29,2024-03-28,SUSPENDED
453,453,CVG453,Third Party Liability,2817355.76,85835.83,2023-03-30,2024-03-29,ACTIVE
454,454,CVG454,Fire,6889414.98,265312.05,2023-03-31,2024-03-30,EXPIRED
455,455,CVG455,Flood,585538.08,18906.02,2023-04-01,2024-03-31,CANCELLED
456,456,CVG456,Theft,5017600.14,229239.04,2023-04-02,2024-04-01,SUSPENDED
457,457,CVG457,Personal Accident,2933322.1,120115.74,2023-04-03,2024-04-02,ACTIVE
458,458,CVG458,Glass Protection,6109943.48,127419.47,2023-04-04,2024-04-03,EXPIRED
459,459,CVG459,Natural Disaster,6402516.99,210899.56,2023-04-05,2024-04-04,CANCELLED
460,460,CVG460,Business Interruption,6809868.14,254973.56,2023-04-06,2024-04-05,SUSPENDED
461,461,CVG461,Comprehensive,6625897.25,283092.59,2023-04-07,2024-04-06,ACTIVE
462,462,CVG462,Collision,6319656.23,288512.32,2023-04-08,2024-04-07,EXPIRED
463,463,CVG463,Third Party Liability,6498772.03,122839.66,2023-04-09,2024-04-08,CANCELLED
464,464,CVG464,Fire,4464149.58,138749.44,2023-04-10,2024-04-09,SUSPENDED
465,465,CVG465,Flood,7350361.7,66564.89,2023-04-11,2024-04-10,ACTIVE
466,466,CVG466,Theft,3021593.47,116744.22,2023-04-12,2024-04-11,EXPIRED
467,467,CVG467,Personal Accident,1838836.7,20130.1,2023-04-13,2024-04-12,CANCELLED
468,468,CVG468,Glass Protection,5440136.81,265027.31,2023-04-14,2024-04-13,SUSPENDED
469,469,CVG469,Natural Disaster,5355438.5,246922.74,2023-04-15,2024-04-14,ACTIVE
470,470,CVG470,Business Interruption,8321678.93,137837.41,2023-04-16,2024-04-15,EXPIRED
471,471,CVG471,Comprehensive,8264429.14,220521.02,2023-04-17,2024-04-16,CANCELLED
472,472,CVG472,Collision,8084236.09,312012.47,2023-04-18,2024-04-17,SUSPENDED
473,473,CVG473,Third Party Liability,3453281.01,35163.51,2023-04-19,2024-04-18,ACTIVE
474,474,CVG474,Fire,9632643.6,109177.02,2023-04-20,2024-04-19,EXPIRED
475,475,CVG475,Flood,9668352.07,422568.16,2023-04-21,2024-04-20,CANCELLED
476,476,CVG476,Theft,7269745.45,356925.61,2023-04-22,2024-04-21,SUSPENDED
477,477,CVG477,Personal Accident,9675970.5,398712.34,2023-04-23,2024-04-22,ACTIVE
478,478,CVG478,Glass Protection,3721172.99,151007.76,2023-04-24,2024-04-23,EXPIRED
479,479,CVG479,Natural Disaster,237794.69,6930.71,2023-04-25,2024-04-24,CANCELLED
480,480,CVG480,Business Interruption,4602381.67,162359.49,2023-04-26,2024-04-25,SUSPENDED
481,481,CVG481,Comprehensive,6756173.89,211503.4,2023-04-27,2024-04-26,ACTIVE
482,482,CVG482,Collision,8241931.28,389951.61,2023-04-28,2024-04-27,EXPIRED
483,483,CVG483,Third Party Liability,1172626.41,18201.49,2023-04-29,2024-04-28,CANCELLED
484,484,CVG484,Fire,347744.03,15575.65,2023-04-30,2024-04-29,SUSPENDED
485,485,CVG485,Flood,5657933.08,261320.22,2023-05-01,2024-04-30,ACTIVE
486,486,CVG486,Theft,2291535.28,17976.56,2023-05-02,2024-05-01,EXPIRED
487,487,CVG487,Personal Accident,8256167.98,379143.41,2023-05-03,2024-05-02,CANCELLED
488,488,CVG488,Glass Protection,3091682.73,72262.87,2023-05-04,2024-05-03,SUSPENDED
489,489,CVG489,Natural Disaster,1483792.42,70601.47,2023-05-05,2024-05-04,ACTIVE
490,490,CVG490,Business Interruption,3113209.39,84580.01,2023-05-06,2024-05-05,EXPIRED
491,491,CVG491,Comprehensive,1062200.79,47721.14,2023-05-07,2024-05-06,CANCELLED
492,492,CVG492,Collision,1443074.08,36674.24,2023-05-08,2024-05-07,SUSPENDED
493,493,CVG493,Third Party Liability,6737813.57,259010.35,2023-05-09,2024-05-08,ACTIVE
494,494,CVG494,Fire,9465143.45,225844.99,2023-05-10,2024-05-09,EXPIRED
495,495,CVG495,Flood,7448463.25,89035.43,2023-05-11,2024-05-10,CANCELLED
496,496,CVG496,Theft,4207356.82,39784.65,2023-05-12,2024-05-11,SUSPENDED
497,497,CVG497,Personal Accident,4944535.67,115530.14,2023-05-13,2024-05-12,ACTIVE
498,498,CVG498,Glass Protection,9520063.1,61616.07,2023-05-14,2024-05-13,EXPIRED
499,499,CVG499,Natural Disaster,3768246.59,94026.19,2023-05-15,2024-05-14,CANCELLED
500,500,CVG500,Business Interruption,9510496.18,413661.49,2023-05-16,2024-05-15,SUSPENDED
501,501,CVG501,Comprehensive,1083610.78,38853.53,2023-05-17,2024-05-16,ACTIVE
502,502,CVG502,Collision,5490212.03,269036.39,2023-05-18,2024-05-17,EXPIRED
503,503,CVG503,Third Party Liability,3650871.03,83664.4,2023-05-19,2024-05-18,CANCELLED
504,504,CVG504,Fire,1979104.77,20775.03,2023-05-20,2024-05-19,SUSPENDED
505,505,CVG505,Flood,8495528.57,216315.54,2023-05-21,2024-05-20,ACTIVE
506,506,CVG506,Theft,6661410.51,225666.61,2023-05-22,2024-05-21,EXPIRED
507,507,CVG507,Personal Accident,6011745.0,35836.53,2023-05-23,2024-05-22,CANCELLED
508,508,CVG508,Glass Protection,7889266.45,125917.43,2023-05-24,2024-05-23,SUSPENDED
509,509,CVG509,Natural Disaster,1346646.46,40946.14,2023-05-25,2024-05-24,ACTIVE
510,510,CVG510,Business Interruption,779240.51,30727.08,2023-05-26,2024-05-25,EXPIRED
511,511,CVG511,Comprehensive,2150857.97,31655.92,2023-05-27,2024-05-26,CANCELLED
512,512,CVG512,Collision,8709984.73,172328.61,2023-05-28,2024-05-27,SUSPENDED
513,513,CVG513,Third Party Liability,1560786.38,71053.08,2023-05-29,2024-05-28,ACTIVE
514,514,CVG514,Fire,128071.96,5587.56,2023-05-30,2024-05-29,EXPIRED
515,515,CVG515,Flood,1532411.01,16626.12,2023-05-31,2024-05-30,CANCELLED
516,516,CVG516,Theft,2581476.55,33178.09,2023-06-01,2024-05-31,SUSPENDED
517,517,CVG517,Personal Accident,6644470.66,40930.65,2023-06-02,2024-06-01,ACTIVE
518,518,CVG518,Glass Protection,247117.24,10020.43,2023-06-03,2024-06-02,EXPIRED
519,519,CVG519,Natural Disaster,2455522.9,48053.89,2023-06-04,2024-06-03,CANCELLED
520,520,CVG520,Business Interruption,1825037.39,13428.54,2023-06-05,2024-06-04,SUSPENDED
521,521,CVG521,Comprehensive,7443008.76,213419.71,2023-06-06,2024-06-05,ACTIVE
522,522,CVG522,Collision,7482086.22,197759.53,2023-06-07,2024-06-06,EXPIRED
523,523,CVG523,Third Party Liability,7802368.69,219213.07,2023-06-08,2024-06-07,CANCELLED
524,524,CVG524,Fire,1179634.7,32643.73,2023-06-09,2024-06-08,SUSPENDED
525,525,CVG525,Flood,9459614.87,65757.82,2023-06-10,2024-06-09,ACTIVE
526,526,CVG526,Theft,7853947.26,345684.74,2023-06-11,2024-06-10,EXPIRED
527,527,CVG527,Personal Accident,5262367.03,134779.29,2023-06-12,2024-06-11,CANCELLED
528,528,CVG528,Glass Protection,9643859.21,74615.92,2023-06-13,2024-06-12,SUSPENDED
529,529,CVG529,Natural Disaster,4841920.92,111716.56,2023-06-14,2024-06-13,ACTIVE
530,530,CVG530,Business Interruption,6892365.21,186521.87,2023-06-15,2024-06-14,EXPIRED
531,531,CVG531,Comprehensive,9106038.21,75644.61,2023-06-16,2024-06-15,CANCELLED
532,532,CVG532,Collision,899825.73,29130.4,2023-06-17,2024-06-16,SUSPENDED
533,533,CVG533,Third Party Liability,750254.11,13036.21,2023-06-18,2024-06-17,ACTIVE
534,534,CVG534,Fire,6367459.57,188960.98,2023-06-19,2024-06-18,EXPIRED
535,535,CVG535,Flood,3319335.89,165164.34,2023-06-20,2024-06-19,CANCELLED
536,536,CVG536,Theft,5352512.69,136045.85,2023-06-21,2024-06-20,SUSPENDED
537,537,CVG537,Personal Accident,6093725.24,57665.11,2023-06-22,2024-06-21,ACTIVE
538,538,CVG538,Glass Protection,7047616.24,305695.1,2023-06-23,2024-06-22,EXPIRED
539,539,CVG539,Natural Disaster,6544074.98,259167.11,2023-06-24,2024-06-23,CANCELLED
540,540,CVG540,Business Interruption,7236315.17,106200.44,2023-06-25,2024-06-24,SUSPENDED
541,541,CVG541,Comprehensive,4570393.67,69845.72,2023-06-26,2024-06-25,ACTIVE
542,542,CVG542,Collision,3455423.03,87793.49,2023-06-27,2024-06-26,EXPIRED
543,543,CVG543,Third Party Liability,4218297.54,39141.0,2023-06-28,2024-06-27,CANCELLED
544,544,CVG544,Fire,4324963.66,151070.35,2023-06-29,2024-06-28,SUSPENDED
545,545,CVG545,Flood,3805580.13,45167.49,2023-06-30,2024-06-29,ACTIVE
546,546,CVG546,Theft,9237551.85,74094.39,2023-07-01,2024-06-30,EXPIRED
547,547,CVG547,Personal Accident,8334541.7,76639.07,2023-07-02,2024-07-01,CANCELLED
548,548,CVG548,Glass Protection,1055987.88,40387.12,2023-07-03,2024-07-02,SUSPENDED
549,549,CVG549,Natural Disaster,8136515.92,244393.95,2023-07-04,2024-07-03,ACTIVE
550,550,CVG550,Business Interruption,5906004.32,178782.95,2023-07-05,2024-07-04,EXPIRED
551,551,CVG551,Comprehensive,3363495.22,35318.07,2023-07-06,2024-07-05,CANCELLED
552,552,CVG552,Collision,3600620.99,125806.86,2023-07-07,2024-07-06,SUSPENDED
553,553,CVG553,Third Party Liability,7527814.08,331706.7,2023-07-08,2024-07-07,ACTIVE
554,554,CVG554,Fire,7238500.72,351631.44,2023-07-09,2024-07-08,EXPIRED
555,555,CVG555,Flood,6044059.9,125861.98,2023-07-10,2024-07-09,CANCELLED
556,556,CVG556,Theft,5821393.33,84836.6,2023-07-11,2024-07-10,SUSPENDED
557,557,CVG557,Personal Accident,6601689.4,99626.22,2023-07-12,2024-07-11,ACTIVE
558,558,CVG558,Glass Protection,1171361.98,50417.53,2023-07-13,2024-07-12,EXPIRED
559,559,CVG559,Natural Disaster,3738854.4,147001.49,2023-07-14,2024-07-13,CANCELLED
560,560,CVG560,Business Interruption,5783590.04,239006.64,2023-07-15,2024-07-14,SUSPENDED
561,561,CVG561,Comprehensive,8467036.1,413653.64,2023-07-16,2024-07-15,ACTIVE
562,562,CVG562,Collision,8202425.91,267487.65,2023-07-17,2024-07-16,EXPIRED
563,563,CVG563,Third Party Liability,6462721.72,39948.81,2023-07-18,2024-07-17,CANCELLED
564,564,CVG564,Fire,9297934.48,393541.92,2023-07-19,2024-07-18,SUSPENDED
565,565,CVG565,Flood,2747732.48,36046.74,2023-07-20,2024-07-19,ACTIVE
566,566,CVG566,Theft,7056717.85,133402.39,2023-07-21,2024-07-20,EXPIRED
567,567,CVG567,Personal Accident,3464264.1,18273.16,2023-07-22,2024-07-21,CANCELLED
568,568,CVG568,Glass Protection,8711640.79,265569.57,2023-07-23,2024-07-22,SUSPENDED
569,569,CVG569,Natural Disaster,4067765.01,46308.9,2023-07-24,2024-07-23,ACTIVE
570,570,CVG570,Business Interruption,6368402.93,40627.67,2023-07-25,2024-07-24,EXPIRED
571,571,CVG571,Comprehensive,7486506.44,109909.25,2023-07-26,2024-07-25,CANCELLED
572,572,CVG572,Collision,4256341.69,86575.35,2023-07-27,2024-07-26,SUSPENDED
573,573,CVG573,Third Party Liability,3763525.62,141026.15,2023-07-28,2024-07-27,ACTIVE
574,574,CVG574,Fire,7790672.64,237940.46,2023-07-29,2024-07-28,EXPIRED
575,575,CVG575,Flood,941074.7,6933.27,2023-07-30,2024-07-29,CANCELLED
576,576,CVG576,Theft,1658357.98,54398.65,2023-07-31,2024-07-30,SUSPENDED
577,577,CVG577,Personal Accident,6772290.24,116785.63,2023-08-01,2024-07-31,ACTIVE
578,578,CVG578,Glass Protection,6653193.06,178670.01,2023-08-02,2024-08-01,EXPIRED
579,579,CVG579,Natural Disaster,4476237.45,77405.37,2023-08-03,2024-08-02,CANCELLED
580,580,CVG580,Business Interruption,7573937.12,76661.78,2023-08-04,2024-08-03,SUSPENDED
581,581,CVG581,Comprehensive,4356144.97,77304.55,2023-08-05,2024-08-04,ACTIVE
582,582,CVG582,Collision,6817013.92,183367.27,2023-08-06,2024-08-05,EXPIRED
583,583,CVG583,Third Party Liability,6704612.33,47225.82,2023-08-07,2024-08-06,CANCELLED
584,584,CVG584,Fire,4013107.62,128297.54,2023-08-08,2024-08-07,SUSPENDED
585,585,CVG585,Flood,176102.15,3269.14,2023-08-09,2024-08-08,ACTIVE
586,586,CVG586,Theft,2191216.39,24488.08,2023-08-10,2024-08-09,EXPIRED
587,587,CVG587,Personal Accident,2629643.09,51976.23,2023-08-11,2024-08-10,CANCELLED
588,588,CVG588,Glass Protection,176526.08,6816.67,2023-08-12,2024-08-11,SUSPENDED
589,589,CVG589,Natural Disaster,1839378.54,40667.44,2023-08-13,2024-08-12,ACTIVE
