premium_id,policy_period_id,written_premium,earned_premium,unearned_premium,transaction_date,currency_code,commission_rate,commission_amount,operating_expense,as_of_date
279,279,119813.58,106961.44,12852.14,2022-10-07,INR,11.75,14078.1,10386.29,2022-10-27
280,280,32294.72,23664.06,8630.66,2022-10-08,USD,12.52,4043.3,3133.9,2022-10-22
281,281,20007.77,17897.35,2110.42,2022-10-09,INR,10.15,2030.79,1600.66,2022-10-25
282,282,98688.43,41599.95,57088.48,2022-10-10,USD,15.61,15405.26,9806.57,2022-10-26
283,283,80798.47,39373.94,41424.53,2022-10-11,INR,10.59,8556.56,4023.97,2022-10-24
284,284,117297.39,90717.07,26580.32,2022-10-12,USD,5.79,6791.52,8699.02,2022-10-22
285,285,14557.22,6579.55,7977.67,2022-10-13,INR,15.18,2209.79,726.26,2022-11-05
286,286,128477.11,119538.38,8938.73,2022-10-14,USD,14.04,18038.19,5206.68,2022-10-16
287,287,89497.23,42760.49,46736.74,2022-10-15,INR,10.25,9173.47,8747.35,2022-11-06
288,288,101009.6,47567.79,53441.81,2022-10-16,USD,15.63,15787.8,3629.31,2022-11-02
289,289,59618.5,49806.13,9812.37,2022-10-17,INR,17.2,10254.38,4585.15,2022-11-12
290,290,142330.75,134992.21,7338.54,2022-10-18,USD,18.69,26601.62,5201.01,2022-11-08
291,291,66393.92,39770.32,26623.6,2022-10-19,INR,10.44,6931.53,2829.6,2022-10-25
292,292,54551.19,44807.58,9743.61,2022-10-20,USD,7.88,4298.63,5455.03,2022-10-24
293,293,16188.94,13994.3,2194.64,2022-10-21,INR,6.52,1055.52,1359.24,2022-11-16
294,294,112103.38,77305.64,34797.74,2022-10-22,USD,14.93,16737.03,10240.36,2022-11-10
295,295,24002.11,14573.98,9428.13,2022-10-23,INR,7.43,1783.36,2116.85,2022-11-16
296,296,95587.37,85690.33,9897.04,2022-10-24,USD,15.82,15121.92,3159.97,2022-11-04
297,297,103072.62,54694.62,48378.0,2022-10-25,INR,11.66,12018.27,5147.96,2022-11-17
298,298,118651.05,62731.0,55920.05,2022-10-26,USD,8.59,10192.13,11579.37,2022-11-20
299,299,73007.26,62736.04,10271.22,2022-10-27,INR,10.52,7680.36,7030.53,2022-11-10
300,300,71943.6,39926.86,32016.74,2022-10-28,USD,10.73,7719.55,4814.62,2022-11-27
301,301,28498.44,14529.47,13968.97,2022-10-29,INR,14.07,4009.73,2596.5,2022-10-30
302,302,97970.96,86289.33,11681.63,2022-10-30,USD,13.32,13049.73,3642.69,2022-11-26
303,303,79806.86,37395.32,42411.54,2022-10-31,INR,6.26,4995.91,3289.79,2022-11-14
304,304,136269.4,65551.27,70718.13,2022-11-01,USD,11.56,15752.74,13115.78,2022-11-08
305,305,123421.97,109419.3,14002.67,2022-11-02,INR,18.96,23400.81,7287.18,2022-11-14
306,306,77791.03,41204.19,36586.84,2022-11-03,USD,19.92,15495.97,4375.27,2022-11-03
307,307,51209.31,23274.41,27934.9,2022-11-04,INR,15.72,8050.1,2738.18,2022-11-08
308,308,24951.94,13917.78,11034.16,2022-11-05,USD,17.45,4354.11,1964.34,2022-11-09
309,309,115031.97,75692.25,39339.72,2022-11-06,INR,14.23,16369.05,10745.14,2022-11-06
310,310,42108.97,36181.28,5927.69,2022-11-07,USD,13.23,5571.02,3406.89,2022-11-23
311,311,66371.94,54882.62,11489.32,2022-11-08,INR,8.56,5681.44,2557.27,2022-11-15
312,312,65874.7,55113.71,10760.99,2022-11-09,USD,11.86,7812.74,2487.43,2022-12-07
313,313,77475.24,53832.09,23643.15,2022-11-10,INR,14.48,11218.41,5442.89,2022-12-02
314,314,25818.64,16422.76,9395.88,2022-11-11,USD,14.22,3671.41,1209.33,2022-11-24
315,315,32160.52,24683.78,7476.74,2022-11-12,INR,12.85,4132.63,1776.62,2022-12-12
316,316,81278.62,55190.64,26087.98,2022-11-13,USD,19.82,16109.42,5591.21,2022-11-25
317,317,131633.06,55805.04,75828.02,2022-11-14,INR,10.8,14216.37,7388.72,2022-12-07
318,318,7355.12,6131.86,1223.26,2022-11-15,USD,10.17,748.02,598.01,2022-12-05
319,319,20031.26,14423.45,5607.81,2022-11-16,INR,16.35,3275.11,788.0,2022-11-27
320,320,84171.99,71329.86,12842.13,2022-11-17,USD,7.63,6422.32,7115.9,2022-12-01
321,321,147218.78,97634.34,49584.44,2022-11-18,INR,7.73,11380.01,5806.26,2022-12-10
322,322,117547.61,76608.57,40939.04,2022-11-19,USD,9.4,11049.48,3886.88,2022-11-25
323,323,133439.61,76537.98,56901.63,2022-11-20,INR,9.65,12876.92,7722.91,2022-12-16
324,324,83739.45,45162.58,38576.87,2022-11-21,USD,16.3,13649.53,3632.39,2022-12-02
325,325,130010.09,55422.29,74587.8,2022-11-22,INR,14.84,19293.5,6386.77,2022-12-17
326,326,58362.78,51897.21,6465.57,2022-11-23,USD,16.15,9425.59,5405.83,2022-12-05
327,327,54160.31,27229.07,26931.24,2022-11-24,INR,15.38,8329.86,3017.5,2022-12-19
328,328,80295.0,67498.5,12796.5,2022-11-25,USD,15.91,12774.93,2852.47,2022-12-14
329,329,149289.23,74532.81,74756.42,2022-11-26,INR,9.41,14048.12,5550.85,2022-12-06
330,330,100833.29,57331.06,43502.23,2022-11-27,USD,14.04,14156.99,6032.67,2022-12-19
331,331,69366.72,44805.44,24561.28,2022-11-28,INR,15.9,11029.31,6507.47,2022-12-17
332,332,149731.84,82503.06,67228.78,2022-11-29,USD,19.7,29497.17,14427.16,2022-12-01
333,333,102321.66,63788.92,38532.74,2022-11-30,INR,12.7,12994.85,8440.81,2022-12-05
334,334,143154.46,68503.52,74650.94,2022-12-01,USD,14.11,20199.09,12124.01,2022-12-02
335,335,23303.35,12346.06,10957.29,2022-12-02,INR,14.68,3420.93,1289.85,2023-01-01
336,336,87250.47,63937.33,23313.14,2022-12-03,USD,15.19,13253.35,8412.49,2022-12-14
337,337,69371.2,30681.98,38689.22,2022-12-04,INR,7.07,4904.54,3863.04,2022-12-14
338,338,99186.31,53291.46,45894.85,2022-12-05,USD,6.7,6645.48,8083.41,2022-12-20
339,339,80073.06,72261.8,7811.26,2022-12-06,INR,6.77,5420.95,6745.96,2022-12-28
340,340,69709.6,66084.76,3624.84,2022-12-07,USD,9.28,6469.05,6563.4,2022-12-22
341,341,34025.86,16150.4,17875.46,2022-12-08,INR,6.11,2078.98,1432.01,2022-12-30
342,342,69541.12,31174.23,38366.89,2022-12-09,USD,15.23,10591.11,6202.13,2022-12-19
343,343,101836.77,80476.23,21360.54,2022-12-10,INR,13.25,13493.37,5124.97,2022-12-19
344,344,128447.5,101665.55,26781.95,2022-12-11,USD,18.91,24289.42,9587.19,2023-01-05
345,345,57416.37,30047.87,27368.5,2022-12-12,INR,19.78,11356.96,4905.92,2022-12-19
346,346,119604.09,49570.66,70033.43,2022-12-13,USD,13.31,15919.3,6676.75,2023-01-07
347,347,147536.73,69545.0,77991.73,2022-12-14,INR,18.26,26940.21,5105.12,2022-12-26
348,348,149941.28,119260.04,30681.24,2022-12-15,USD,12.89,19327.43,12571.3,2023-01-10
349,349,88360.57,41434.9,46925.67,2022-12-16,INR,9.76,8623.99,3109.55,2022-12-30
350,350,103615.8,61079.77,42536.03,2022-12-17,USD,18.17,18826.99,8767.8,2023-01-06
351,351,90228.97,74193.47,16035.5,2022-12-18,INR,6.94,6261.89,5882.97,2023-01-14
352,352,13034.86,6104.08,6930.78,2022-12-19,USD,7.3,951.54,541.29,2022-12-29
353,353,140536.99,73642.6,66894.39,2022-12-20,INR,19.21,26997.16,9320.81,2022-12-29
354,354,127660.39,68659.96,59000.43,2022-12-21,USD,14.53,18549.05,8752.26,2022-12-25
355,355,95628.24,70567.48,25060.76,2022-12-22,INR,6.4,6120.21,7159.6,2023-01-09
356,356,141533.01,68616.17,72916.84,2022-12-23,USD,14.88,21060.11,11385.52,2023-01-11
357,357,53954.84,48999.7,4955.14,2022-12-24,INR,5.62,3032.26,4881.01,2022-12-26
358,358,11591.96,8726.42,2865.54,2022-12-25,USD,13.65,1582.3,876.11,2023-01-18
359,359,87959.89,65086.77,22873.12,2022-12-26,INR,5.45,4793.81,8112.52,2023-01-12
360,360,47002.39,43531.62,3470.77,2022-12-27,USD,12.24,5753.09,4057.63,2023-01-17
361,361,63883.42,41489.04,22394.38,2022-12-28,INR,15.33,9793.33,2623.41,2023-01-10
362,362,75216.41,38526.8,36689.61,2022-12-29,USD,14.1,10605.51,3902.29,2023-01-20
363,363,51300.88,48397.91,2902.97,2022-12-30,INR,10.18,5222.43,2970.84,2023-01-23
364,364,58728.33,41632.99,17095.34,2022-12-31,USD,9.79,5749.5,3679.51,2023-01-08
365,365,70191.42,33515.19,36676.23,2023-01-01,INR,5.76,4043.03,6750.8,2023-01-28
366,366,94229.73,50558.83,43670.9,2023-01-02,USD,17.98,16942.51,3880.28,2023-01-12
367,367,140393.97,111840.73,28553.24,2023-01-03,INR,7.85,11020.93,5777.77,2023-01-19
368,368,72688.19,64219.41,8468.78,2023-01-04,USD,12.46,9056.95,2638.83,2023-01-16
369,369,78289.45,72940.53,5348.92,2023-01-05,INR,8.23,6443.22,4282.64,2023-01-06
370,370,45796.67,33369.07,12427.6,2023-01-06,USD,17.64,8078.53,3529.84,2023-01-15
371,371,82820.16,71717.69,11102.47,2023-01-07,INR,11.46,9491.19,7600.56,2023-01-30
372,372,58037.76,36087.28,21950.48,2023-01-08,USD,5.68,3296.54,1948.97,2023-01-25
373,373,33225.02,23399.47,9825.55,2023-01-09,INR,6.1,2026.73,2169.52,2023-02-02
374,374,84729.28,72352.13,12377.15,2023-01-10,USD,14.35,12158.65,6166.01,2023-01-14
375,375,146387.01,90269.12,56117.89,2023-01-11,INR,16.92,24768.68,7866.25,2023-02-10
376,376,58012.92,27808.32,30204.6,2023-01-12,USD,14.04,8145.01,3370.38,2023-01-13
377,377,11568.99,5499.55,6069.44,2023-01-13,INR,10.0,1156.9,730.72,2023-01-27
378,378,26596.4,23703.31,2893.09,2023-01-14,USD,7.1,1888.34,2531.87,2023-01-24
379,379,28562.8,26987.24,1575.56,2023-01-15,INR,16.09,4595.75,1455.17,2023-01-25
380,380,78560.67,53448.18,25112.49,2023-01-16,USD,12.35,9702.24,5452.48,2023-01-31
381,381,123283.58,74290.29,48993.29,2023-01-17,INR,15.11,18628.15,12154.88,2023-02-04
382,382,49613.29,44370.25,5243.04,2023-01-18,USD,18.08,8970.08,3673.78,2023-02-06
383,383,73815.58,68787.92,5027.66,2023-01-19,INR,16.74,12356.73,6224.97,2023-02-06
384,384,37993.77,16270.65,21723.12,2023-01-20,USD,12.21,4639.04,2534.04,2023-02-12
385,385,94861.69,81831.67,13030.02,2023-01-21,INR,7.22,6849.01,7366.09,2023-01-22
386,386,88022.69,69123.03,18899.66,2023-01-22,USD,7.86,6918.58,5358.18,2023-02-04
387,387,26957.53,21020.81,5936.72,2023-01-23,INR,11.16,3008.46,2271.12,2023-02-21
388,388,73382.79,63594.06,9788.73,2023-01-24,USD,15.91,11675.2,5826.91,2023-02-09
389,389,35064.55,20294.56,14769.99,2023-01-25,INR,14.93,5235.14,2341.73,2023-02-04
390,390,143719.4,93822.17,49897.23,2023-01-26,USD,13.0,18683.52,9807.29,2023-02-16
391,391,116938.52,93142.53,23795.99,2023-01-27,INR,14.65,17131.49,9183.41,2023-02-15
392,392,75206.11,69681.14,5524.97,2023-01-28,USD,9.19,6911.44,3827.61,2023-02-27
393,393,146072.04,82339.06,63732.98,2023-01-29,INR,9.34,13643.13,6501.59,2023-02-20
394,394,75905.45,50393.01,25512.44,2023-01-30,USD,13.41,10178.92,7242.44,2023-02-22
395,395,44651.34,20853.55,23797.79,2023-01-31,INR,15.15,6764.68,2526.31,2023-02-12
396,396,123664.73,114394.19,9270.54,2023-02-01,USD,17.07,21109.57,6224.25,2023-02-10
397,397,143520.49,63646.48,79874.01,2023-02-02,INR,18.86,27067.96,10895.79,2023-02-25
398,398,74466.49,38062.61,36403.88,2023-02-03,USD,13.08,9740.22,7097.53,2023-02-25
399,399,44385.11,20420.46,23964.65,2023-02-04,INR,16.11,7150.44,2074.99,2023-02-05
400,400,102125.92,70678.57,31447.35,2023-02-05,USD,14.57,14879.75,3439.03,2023-02-18
401,401,52892.58,34899.7,17992.88,2023-02-06,INR,15.22,8050.25,2095.75,2023-03-08
402,402,84801.12,77254.23,7546.89,2023-02-07,USD,11.1,9412.92,8094.46,2023-03-07
403,403,73976.45,56059.08,17917.37,2023-02-08,INR,16.34,12087.75,3706.75,2023-02-17
404,404,98655.2,88727.07,9928.13,2023-02-09,USD,6.34,6254.74,6924.54,2023-02-26
405,405,112109.55,97275.57,14833.98,2023-02-10,INR,5.56,6233.29,10594.68,2023-02-23
406,406,132925.52,66021.95,66903.57,2023-02-11,USD,18.79,24976.71,13266.24,2023-02-23
407,407,119254.29,59921.87,59332.42,2023-02-12,INR,16.24,19366.9,10859.34,2023-02-21
408,408,132127.76,53524.55,78603.21,2023-02-13,USD,13.52,17863.67,4956.25,2023-02-23
409,409,46261.44,43671.02,2590.42,2023-02-14,INR,13.15,6083.38,2987.28,2023-03-16
410,410,24458.99,16566.49,7892.5,2023-02-15,USD,9.09,2223.32,2118.56,2023-02-25
411,411,28561.67,18633.72,9927.95,2023-02-16,INR,8.86,2530.56,1229.12,2023-03-11
412,412,53881.27,30295.46,23585.81,2023-02-17,USD,15.12,8146.85,2344.98,2023-03-08
413,413,129141.24,115371.36,13769.88,2023-02-18,INR,17.4,22470.58,8532.32,2023-02-20
414,414,63120.82,28559.76,34561.06,2023-02-19,USD,19.73,12453.74,4003.24,2023-03-20
415,415,40966.83,22262.68,18704.15,2023-02-20,INR,8.53,3494.47,3390.54,2023-03-22
416,416,52795.67,38031.54,14764.13,2023-02-21,USD,13.59,7174.93,2550.49,2023-03-04
417,417,105451.45,45783.69,59667.76,2023-02-22,INR,6.77,7139.06,5428.27,2023-03-06
418,418,104480.67,94837.97,9642.7,2023-02-23,USD,18.32,19140.86,8764.77,2023-03-17
419,419,22025.28,19908.03,2117.25,2023-02-24,INR,9.43,2076.98,1608.37,2023-03-03
420,420,143817.28,95350.86,48466.42,2023-02-25,USD,11.82,16999.2,14269.36,2023-03-08
421,421,65297.61,45844.08,19453.53,2023-02-26,INR,12.06,7874.89,4415.83,2023-03-19
422,422,124712.51,102142.39,22570.12,2023-02-27,USD,15.21,18968.77,8942.76,2023-03-24
423,423,16871.19,10893.92,5977.27,2023-02-28,INR,15.56,2625.16,598.37,2023-03-18
424,424,21270.27,18203.64,3066.63,2023-03-01,USD,18.54,3943.51,939.1,2023-03-18
425,425,26728.6,15515.01,11213.59,2023-03-02,INR,12.81,3423.93,1019.34,2023-03-08
426,426,108953.11,72873.87,36079.24,2023-03-03,USD,18.48,20134.53,6666.16,2023-03-04
427,427,70747.68,48270.17,22477.51,2023-03-04,INR,11.85,8383.6,2408.36,2023-03-18
428,428,102551.32,58402.29,44149.03,2023-03-05,USD,5.33,5465.99,4903.18,2023-03-05
429,429,113141.65,81243.76,31897.89,2023-03-06,INR,5.68,6426.45,6122.89,2023-03-08
430,430,83468.71,36153.69,47315.02,2023-03-07,USD,18.41,15366.59,8265.87,2023-03-22
431,431,9601.56,5999.79,3601.77,2023-03-08,INR,16.53,1587.14,802.77,2023-03-31
432,432,98652.72,62269.5,36383.22,2023-03-09,USD,19.89,19622.03,5600.87,2023-04-05
433,433,137981.69,83840.85,54140.84,2023-03-10,INR,6.2,8554.86,13451.85,2023-04-06
434,434,83198.54,63184.61,20013.93,2023-03-11,USD,10.22,8502.89,3535.37,2023-03-28
435,435,61993.5,29139.48,32854.02,2023-03-12,INR,19.68,12200.32,5482.55,2023-04-05
436,436,8296.62,4680.12,3616.5,2023-03-13,USD,15.1,1252.79,565.09,2023-03-30
437,437,59995.09,31576.33,28418.76,2023-03-14,INR,11.91,7145.42,2451.31,2023-03-20
438,438,140924.5,112565.3,28359.2,2023-03-15,USD,6.69,9427.85,12213.01,2023-03-28
439,439,94163.87,86153.43,8010.44,2023-03-16,INR,18.34,17269.65,4411.26,2023-03-18
440,440,19630.02,8214.51,11415.51,2023-03-17,USD,13.97,2742.31,1555.29,2023-03-18
441,441,40486.45,17179.62,23306.83,2023-03-18,INR,11.58,4688.33,2744.3,2023-04-11
442,442,130240.89,56139.58,74101.31,2023-03-19,USD,12.56,16358.26,6544.4,2023-04-14
443,443,137877.57,98839.01,39038.56,2023-03-20,INR,13.66,18834.08,11592.43,2023-04-15
444,444,51496.44,29145.46,22350.98,2023-03-21,USD,7.15,3682.0,3924.79,2023-03-28
445,445,64966.23,35818.13,29148.1,2023-03-22,INR,13.35,8672.99,4639.67,2023-04-14
446,446,137178.76,102101.63,35077.13,2023-03-23,USD,11.41,15652.1,8874.57,2023-04-03
447,447,141530.03,108870.33,32659.7,2023-03-24,INR,16.79,23762.89,7403.64,2023-04-06
448,448,64197.58,36267.7,27929.88,2023-03-25,USD,7.76,4981.73,4343.29,2023-04-01
449,449,128154.44,72459.17,55695.27,2023-03-26,INR,15.61,20004.91,11073.1,2023-04-24
450,450,13355.47,8373.51,4981.96,2023-03-27,USD,11.25,1502.49,896.14,2023-04-08
451,451,40214.48,20583.19,19631.29,2023-03-28,INR,14.7,5911.53,3802.51,2023-04-24
452,452,58806.24,40846.79,17959.45,2023-03-29,USD,17.44,10255.81,1976.33,2023-04-10
453,453,102682.43,75123.2,27559.23,2023-03-30,INR,18.1,18585.52,4432.95,2023-04-23
454,454,90199.63,69390.38,20809.25,2023-03-31,USD,8.26,7450.49,4024.91,2023-04-29
455,455,53279.83,49356.35,3923.48,2023-04-01,INR,5.23,2786.54,5093.61,2023-05-01
456,456,112513.9,91224.42,21289.48,2023-04-02,USD,16.31,18351.02,10577.53,2023-04-24
457,457,92638.22,47475.44,45162.78,2023-04-03,INR,18.73,17351.14,6359.2,2023-04-27
458,458,46043.58,30224.74,15818.84,2023-04-04,USD,14.73,6782.22,2375.37,2023-04-15
459,459,79358.4,53448.08,25910.32,2023-04-05,INR,6.48,5142.42,7832.06,2023-04-20
460,460,115436.2,66506.06,48930.14,2023-04-06,USD,8.05,9292.61,5991.66,2023-04-07
461,461,86566.09,45161.59,41404.5,2023-04-07,INR,7.19,6224.1,4177.18,2023-05-06
462,462,89684.63,71389.55,18295.08,2023-04-08,USD,9.43,8457.26,3922.22,2023-04-15
463,463,60076.77,51566.87,8509.9,2023-04-09,INR,12.49,7503.59,4555.17,2023-04-30
464,464,53946.82,44228.21,9718.61,2023-04-10,USD,12.33,6651.64,4350.76,2023-05-03
465,465,76136.36,37499.33,38637.03,2023-04-11,INR,16.92,12882.27,3186.2,2023-05-04
466,466,84249.22,42227.92,42021.3,2023-04-12,USD,18.34,15451.31,8367.86,2023-05-12
467,467,13516.15,5657.9,7858.25,2023-04-13,INR,17.7,2392.36,1299.76,2023-05-04
468,468,12034.59,4856.09,7178.5,2023-04-14,USD,7.06,849.64,892.35,2023-04-16
469,469,107539.59,43556.52,63983.07,2023-04-15,INR,12.59,13539.23,6035.56,2023-05-04
470,470,97470.65,89053.77,8416.88,2023-04-16,USD,18.69,18217.26,7422.38,2023-04-16
471,471,5958.79,4191.44,1767.35,2023-04-17,INR,5.18,308.67,399.59,2023-04-25
472,472,82682.02,46110.0,36572.02,2023-04-18,USD,12.53,10360.06,6519.49,2023-05-01
473,473,121894.32,109750.64,12143.68,2023-04-19,INR,6.61,8057.21,4478.64,2023-04-23
474,474,39940.48,29591.08,10349.4,2023-04-20,USD,8.79,3510.77,2189.17,2023-05-15
475,475,62549.98,37853.89,24696.09,2023-04-21,INR,11.09,6936.79,4350.36,2023-05-13
476,476,37749.3,29301.87,8447.43,2023-04-22,USD,17.72,6689.18,2859.94,2023-05-19
477,477,99234.7,41423.19,57811.51,2023-04-23,INR,11.08,10995.2,5597.02,2023-05-08
478,478,13136.67,5322.95,7813.72,2023-04-24,USD,7.57,994.45,853.75,2023-05-07
479,479,98511.55,57353.31,41158.24,2023-04-25,INR,19.66,19367.37,9670.76,2023-05-23
480,480,81583.08,34542.56,47040.52,2023-04-26,USD,8.17,6665.34,7405.15,2023-05-24
481,481,87183.7,47872.77,39310.93,2023-04-27,INR,18.86,16442.85,6792.48,2023-05-05
482,482,135400.19,96124.71,39275.48,2023-04-28,USD,5.49,7433.47,12864.87,2023-05-08
483,483,7270.42,3736.54,3533.88,2023-04-29,INR,7.16,520.56,635.79,2023-05-25
484,484,62752.92,27756.6,34996.32,2023-04-30,USD,7.44,4668.82,2938.91,2023-05-26
485,485,128169.15,98993.91,29175.24,2023-05-01,INR,13.11,16802.98,7288.88,2023-05-24
486,486,25292.84,23867.91,1424.93,2023-05-02,USD,15.86,4011.44,1645.44,2023-05-13
487,487,12785.98,8188.12,4597.86,2023-05-03,INR,17.58,2247.78,688.42,2023-05-27
488,488,94010.46,68400.58,25609.88,2023-05-04,USD,19.53,18360.24,4968.11,2023-05-24
489,489,44632.42,42218.8,2413.62,2023-05-05,INR,12.36,5516.57,2450.62,2023-06-04
490,490,59436.91,29846.59,29590.32,2023-05-06,USD,13.79,8196.35,3364.43,2023-05-30
491,491,94699.3,79446.12,15253.18,2023-05-07,INR,15.7,14867.79,3384.8,2023-05-11
492,492,60100.0,49951.49,10148.51,2023-05-08,USD,7.31,4393.31,3442.14,2023-05-19
493,493,20449.88,8238.38,12211.5,2023-05-09,INR,9.62,1967.28,1128.72,2023-05-17
494,494,19823.56,8881.22,10942.34,2023-05-10,USD,11.46,2271.78,1367.61,2023-05-26
495,495,64166.41,26593.39,37573.02,2023-05-11,INR,10.31,6615.56,2343.0,2023-05-30
496,496,118743.62,103906.01,14837.61,2023-05-12,USD,5.19,6162.79,7001.92,2023-06-05
497,497,17281.43,15477.68,1803.75,2023-05-13,INR,18.58,3210.89,1701.74,2023-05-31
498,498,80560.16,62589.11,17971.05,2023-05-14,USD,7.54,6074.24,3933.3,2023-05-22
499,499,76502.97,33263.26,43239.71,2023-05-15,INR,11.52,8813.14,4550.18,2023-05-30
500,500,118486.66,70928.33,47558.33,2023-05-16,USD,19.16,22702.04,9533.79,2023-05-31
501,501,91101.93,46238.92,44863.01,2023-05-17,INR,6.6,6012.73,4675.9,2023-06-16
502,502,62375.34,53822.89,8552.45,2023-05-18,USD,10.7,6674.16,5635.85,2023-06-01
503,503,53536.75,45426.55,8110.2,2023-05-19,INR,17.89,9577.72,5257.08,2023-05-23
504,504,48563.12,35536.85,13026.27,2023-05-20,USD,15.43,7493.29,3085.25,2023-05-25
505,505,144863.32,135128.34,9734.98,2023-05-21,INR,9.37,13573.69,11393.07,2023-06-05
506,506,145325.65,120632.77,24692.88,2023-05-22,USD,9.89,14372.71,7211.21,2023-06-16
507,507,61975.59,28672.28,33303.31,2023-05-23,INR,13.46,8341.91,4428.52,2023-06-09
508,508,31089.45,25561.43,5528.02,2023-05-24,USD,5.4,1678.83,2515.29,2023-06-23
509,509,107713.22,69060.36,38652.86,2023-05-25,INR,9.37,10092.73,8455.32,2023-06-20
510,510,127929.25,107111.97,20817.28,2023-05-26,USD,15.09,19304.52,5084.23,2023-06-04
511,511,40093.07,30561.53,9531.54,2023-05-27,INR,15.73,6306.64,3417.35,2023-05-29
512,512,70114.67,51104.03,19010.64,2023-05-28,USD,13.73,9626.74,4726.13,2023-06-26
513,513,138456.87,108057.26,30399.61,2023-05-29,INR,13.15,18207.08,11817.36,2023-06-09
514,514,106736.97,90380.95,16356.02,2023-05-30,USD,13.91,14847.11,10034.14,2023-06-02
515,515,116498.34,88734.56,27763.78,2023-05-31,INR,10.33,12034.28,8771.16,2023-06-01
516,516,86666.94,65413.36,21253.58,2023-06-01,USD,14.7,12740.04,8465.35,2023-06-11
517,517,145028.93,92347.25,52681.68,2023-06-02,INR,5.16,7483.49,6977.59,2023-06-18
518,518,113293.69,80086.9,33206.79,2023-06-03,USD,15.31,17345.26,5151.72,2023-06-14
519,519,61714.45,50901.35,10813.1,2023-06-04,INR,13.83,8535.11,4013.45,2023-06-15
520,520,149666.9,99606.93,50059.97,2023-06-05,USD,9.43,14113.59,14134.29,2023-06-07
521,521,21830.05,20026.27,1803.78,2023-06-06,INR,7.13,1556.48,1131.5,2023-06-20
522,522,118719.15,81514.13,37205.02,2023-06-07,USD,10.22,12133.1,4372.86,2023-06-30
523,523,106030.67,61010.07,45020.6,2023-06-08,INR,9.5,10072.91,9194.24,2023-06-11
524,524,8274.84,4871.34,3403.5,2023-06-09,USD,6.64,549.45,711.67,2023-07-08
525,525,147665.57,78875.88,68789.69,2023-06-10,INR,7.62,11252.12,6085.22,2023-06-27
526,526,66823.56,43711.28,23112.28,2023-06-11,USD,16.97,11339.96,4950.5,2023-06-16
527,527,97869.44,62408.79,35460.65,2023-06-12,INR,5.44,5324.1,7143.24,2023-06-18
528,528,70188.38,44657.64,25530.74,2023-06-13,USD,5.07,3558.55,3160.98,2023-06-21
529,529,114087.2,96381.02,17706.18,2023-06-14,INR,5.94,6776.78,4235.22,2023-07-11
530,530,82848.91,49807.62,33041.29,2023-06-15,USD,7.96,6594.77,3146.34,2023-07-06
531,531,130082.3,89788.43,40293.87,2023-06-16,INR,14.59,18979.01,9338.34,2023-07-05
532,532,61918.88,28657.77,33261.11,2023-06-17,USD,10.28,6365.26,3842.08,2023-06-22
533,533,122992.05,96953.85,26038.2,2023-06-18,INR,9.46,11635.05,8980.13,2023-06-20
534,534,102455.96,58630.64,43825.32,2023-06-19,USD,8.58,8790.72,3912.43,2023-06-30
535,535,105548.3,71873.5,33674.8,2023-06-20,INR,11.27,11895.29,4185.07,2023-07-02
536,536,66340.62,44293.55,22047.07,2023-06-21,USD,13.06,8664.08,6258.66,2023-07-20
537,537,149985.44,105770.02,44215.42,2023-06-22,INR,12.34,18508.2,5972.53,2023-07-02
538,538,127087.86,94130.86,32957.0,2023-06-23,USD,17.98,22850.4,12280.36,2023-07-08
539,539,24797.53,21037.45,3760.08,2023-06-24,INR,19.46,4825.6,1621.28,2023-07-09
540,540,64324.48,43126.3,21198.18,2023-06-25,USD,15.65,10066.78,3928.27,2023-06-30
541,541,16987.24,7083.23,9904.01,2023-06-26,INR,16.42,2789.3,856.94,2023-07-04
542,542,37602.3,21010.99,16591.31,2023-06-27,USD,16.71,6283.34,2616.95,2023-07-21
543,543,116058.34,81513.51,34544.83,2023-06-28,INR,6.7,7775.91,4409.57,2023-07-22
544,544,83750.4,79143.42,4606.98,2023-06-29,USD,13.13,10996.43,6949.19,2023-07-23
545,545,109252.13,76530.49,32721.64,2023-06-30,INR,19.85,21686.55,4060.81,2023-07-26
546,546,99782.4,53497.57,46284.83,2023-07-01,USD,18.12,18080.57,3218.59,2023-07-09
547,547,55543.66,47167.72,8375.94,2023-07-02,INR,11.59,6437.51,5530.87,2023-07-26
548,548,122723.89,63255.94,59467.95,2023-07-03,USD,16.06,19709.46,9601.84,2023-07-30
549,549,108059.32,80830.95,27228.37,2023-07-04,INR,7.49,8093.64,4294.97,2023-07-10
550,550,122961.83,103655.87,19305.96,2023-07-05,USD,13.55,16661.33,8270.37,2023-07-24
551,551,83121.44,48044.98,35076.46,2023-07-06,INR,15.56,12933.7,4177.13,2023-07-14
552,552,143097.62,97725.41,45372.21,2023-07-07,USD,18.5,26473.06,12458.46,2023-07-11
553,553,144601.94,120327.62,24274.32,2023-07-08,INR,18.78,27156.24,14384.14,2023-08-04
554,554,100104.96,78660.93,21444.03,2023-07-09,USD,6.99,6997.34,4027.93,2023-07-19
555,555,125129.86,102457.64,22672.22,2023-07-10,INR,15.14,18944.66,8041.11,2023-07-28
556,556,96698.29,72068.95,24629.34,2023-07-11,USD,10.63,10279.03,3412.11,2023-08-05
557,557,132618.14,59837.59,72780.55,2023-07-12,INR,12.73,16882.29,6561.39,2023-08-10
